데이터 수신 시간,운전 상태,운전 모드,재배 일자,CO2 평균값,온도 평균값,습도 평균값,조도 평균값,CO2_1,온도_1,습도_1,조도_1,CO2_2,온도_2,습도_2,조도_2,CO2_3,온도_3,습도_3,조도_3,CO2_4,온도_4,습도_4,조도_4,CO2 제어방식,CO2 설정값1,CO2 설정값2,온도 제어방식,온도 설정값1,온도 설정값2,습도 제어방식,습도 설정값1,습도 설정값2,조도 제어방식,조도 설정값1,조도 설정값2,CO2 릴레이동작,난방 릴레이 동작,냉방 릴레이 동작,가습 릴레이 동작,제습 릴레이 동작,조명 릴레이 동작,알람 릴레이 동작
2025-10-14 0:00,운전,단일제어,99,369,22.6,90.8,0,369,22.6,90.8,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,정지,정지,정지,정지,동작,정지
2025-10-15 0:00,운전,단일제어,99,384,21.1,83.2,0,384,21.1,83.2,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
2025-10-16 0:00,운전,단일제어,99,392,21.4,86.1,0,392,21.4,86.1,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
2025-10-17 0:00,운전,단일제어,99,379,20.4,81.9,0,379,20.4,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
2025-10-18 0:00,운전,단일제어,99,395,21.4,84.2,0,395,21.4,84.2,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
2025-10-19 0:00,운전,단일제어,99,387,20.2,80.8,0,387,20.2,80.8,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
2025-10-20 0:00,운전,단일제어,99,391,19.2,80,0,391,19.2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
2025-10-21 0:00,운전,단일제어,99,370,17,71.2,0,370,17,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
2025-10-22 0:00,운전,단일제어,99,365,17.3,72.4,0,365,17.3,72.4,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
2025-10-23 0:00,운전,단일제어,99,380,16.6,73.3,0,380,16.6,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
2025-10-24 0:00,운전,단일제어,99,389,17.1,74.7,0,389,17.1,74.7,0,0,0,0,0,0,0,0,0,0,0,0,0,자동,1400,10분/10분,자동,23,10분/10분,자동,90,10분/10분,고정,6000,60분/0분,정지,동작,정지,동작,정지,동작,동작
